ID,Player,Name,T,R,SR,Mat,Inn,NO,HS,Avg,30s,50s,100s,6s
45,https://scores.iplt20.com/ipl/playerimages/Aiden Markram.png,Aiden Markram,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,220,124,11,11,2,50,24,3,1,0,4
46,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png,Hardik Pandya,https://scores.iplt20.com/ipl/teamlogos/MI.png?,216,143,14,13,1,46,18,3,0,0,11
47,https://scores.iplt20.com/ipl/playerimages/Shahbaz Ahmed.png,Shahbaz Ahmed,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,215,129,16,12,3,59*,23,1,1,0,13
48,https://scores.iplt20.com/ipl/playerimages/Rilee Rossouw.png,Rilee Rossouw,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,211,181,8,8,0,61,26,2,1,0,11
49,https://scores.iplt20.com/ipl/playerimages/David Miller.png,David Miller,https://scores.iplt20.com/ipl/teamlogos/GT.png?,210,151,9,9,3,55,35,2,1,0,8
50,https://scores.iplt20.com/ipl/playerimages/Prithvi Shaw.png,Prithvi Shaw,https://scores.iplt20.com/ipl/teamlogos/DC.png?,198,163,8,8,0,66,24,2,1,0,5
51,https://scores.iplt20.com/ipl/playerimages/Dhruv Jurel.png,Dhruv Jurel,https://scores.iplt20.com/ipl/teamlogos/RR.png?,195,138,15,11,3,56*,24,0,2,0,7
52,https://scores.iplt20.com/ipl/playerimages/Ashutosh Sharma.png,Ashutosh Sharma,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,189,167,11,9,2,61,27,3,1,0,15
53,https://scores.iplt20.com/ipl/playerimages/Rahul Tewatia.png,Rahul Tewatia,https://scores.iplt20.com/ipl/teamlogos/GT.png?,188,145,12,9,2,36*,26,3,0,0,5
54,https://scores.iplt20.com/ipl/playerimages/Jitesh Sharma.png,Jitesh Sharma,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,187,131,14,12,1,32*,17,1,0,0,12
55,https://scores.iplt20.com/ipl/playerimages/Shai Hope.png,Shai Hope,https://scores.iplt20.com/ipl/teamlogos/DC.png?,183,150,9,9,1,41,22,3,0,0,12
56,https://scores.iplt20.com/ipl/playerimages/Abdul Samad.png,Abdul Samad,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,182,168,16,12,2,37*,18,1,0,0,11
57,https://scores.iplt20.com/ipl/playerimages/Rinku Singh.png,Rinku Singh,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,168,148,15,11,2,26,18,0,0,0,8
58,https://scores.iplt20.com/ipl/playerimages/David Warner.png,David Warner,https://scores.iplt20.com/ipl/teamlogos/DC.png?,168,134,8,8,0,52,21,1,1,0,10
59,https://scores.iplt20.com/ipl/playerimages/Rahul Tripathi.png,Rahul Tripathi,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,165,143,6,6,0,55,27,2,1,0,6
60,https://scores.iplt20.com/ipl/playerimages/Angkrish Raghuvanshi.png,Angkrish Raghuvanshi,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,163,155,10,7,0,54,23,2,1,0,8
61,https://scores.iplt20.com/ipl/playerimages/MS Dhoni.png,MS Dhoni,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,161,220,14,11,8,37*,53,1,0,0,13
62,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png,Shikhar Dhawan,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,152,125,5,5,0,70,30,1,1,0,4
63,https://scores.iplt20.com/ipl/playerimages/Deepak Hooda.png,Deepak Hooda,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,145,138,11,9,1,50,18,0,1,0,3
64,https://scores.iplt20.com/ipl/playerimages/Naman Dhir.png,Naman Dhir,https://scores.iplt20.com/ipl/teamlogos/MI.png?,140,177,7,7,1,62*,23,1,1,0,10
65,https://scores.iplt20.com/ipl/playerimages/Pat Cummins.png,Pat Cummins,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,136,143,16,10,4,35*,22,3,0,0,8
66,https://scores.iplt20.com/ipl/playerimages/Wriddhiman Saha.png,Wriddhiman Saha,https://scores.iplt20.com/ipl/teamlogos/GT.png?,136,118,9,9,0,39,15,1,0,0,3
67,https://scores.iplt20.com/ipl/playerimages/Krunal Pandya.png,Krunal Pandya,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,133,126,14,12,8,43*,33,1,0,0,5
68,https://scores.iplt20.com/ipl/playerimages/Moeen Ali.png,Moeen Ali,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,128,130,8,5,0,56,25,1,1,0,8
69,https://scores.iplt20.com/ipl/playerimages/Shahrukh Khan.png,Shahrukh Khan,https://scores.iplt20.com/ipl/teamlogos/GT.png?,127,169,7,7,0,58,18,1,1,0,9
70,https://scores.iplt20.com/ipl/playerimages/Ramandeep Singh.png,Ramandeep Singh,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,125,201,15,9,5,35,31,1,0,0,12
71,https://scores.iplt20.com/ipl/playerimages/Mahipal Lomror.png,Mahipal Lomror,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,125,183,10,10,2,33,15,2,0,0,9
72,https://scores.iplt20.com/ipl/playerimages/Shimron Hetmyer.png,Shimron Hetmyer,https://scores.iplt20.com/ipl/teamlogos/RR.png?,113,163,12,9,4,27*,22,0,0,0,7
73,https://scores.iplt20.com/ipl/playerimages/Liam Livingstone.png,Liam Livingstone,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,111,142,7,7,2,38*,22,1,0,0,7
74,https://scores.iplt20.com/ipl/playerimages/Nehal Wadhera.png,Nehal Wadhera,https://scores.iplt20.com/ipl/teamlogos/MI.png?,109,129,6,6,0,49,18,2,0,0,6
75,https://scores.iplt20.com/ipl/playerimages/Rovman Powell.png,Rovman Powell,https://scores.iplt20.com/ipl/teamlogos/RR.png?,103,151,10,7,1,27,17,0,0,0,6
76,https://scores.iplt20.com/ipl/playerimages/Rashid Khan.png,Rashid Khan,https://scores.iplt20.com/ipl/teamlogos/GT.png?,102,143,12,8,3,31,20,1,0,0,3
77,https://scores.iplt20.com/ipl/playerimages/Anuj Rawat.png,Anuj Rawat,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,98,127,5,5,1,48,24,1,0,0,3
78,https://scores.iplt20.com/ipl/playerimages/Ravichandran Ashwin.png,Ravichandran Ashwin,https://scores.iplt20.com/ipl/teamlogos/RR.png?,86,116,15,9,3,29,14,0,0,0,4
79,https://scores.iplt20.com/ipl/playerimages/Arshad Khan.png,Arshad Khan,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,83,153,4,4,2,58*,41,0,1,0,5
80,https://scores.iplt20.com/ipl/playerimages/Vijay Shankar.png,Vijay Shankar,https://scores.iplt20.com/ipl/teamlogos/GT.png?,83,115,7,7,2,17,16,0,0,0,2
81,https://scores.iplt20.com/ipl/playerimages/Harpreet Brar.png,Harpreet Brar,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,75,138,13,7,5,29,37,0,0,0,2
82,https://scores.iplt20.com/ipl/playerimages/Dewald Brevis.png,Dewald Brevis,https://scores.iplt20.com/ipl/teamlogos/MI.png?,69,116,3,3,0,46,23,1,0,0,5
83,https://scores.iplt20.com/ipl/playerimages/Mayank Agarwal.png,Mayank Agarwal,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,64,112,4,4,0,32,16,1,0,0,1
84,https://scores.iplt20.com/ipl/playerimages/Rahmanullah Gurbaz.png,Rahmanullah Gurbaz,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,62,134,3,2,0,39,31,1,0,0,4
85,https://scores.iplt20.com/ipl/playerimages/Mitchell Marsh.png,Mitchell Marsh,https://scores.iplt20.com/ipl/teamlogos/DC.png?,61,160,4,4,0,23,15,0,0,0,3
86,https://scores.iplt20.com/ipl/playerimages/Atharva Taide.png,Atharva Taide,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,61,156,2,2,0,46,30,1,0,0,2
87,https://scores.iplt20.com/ipl/playerimages/Romario Shepherd.png,Romario Shepherd,https://scores.iplt20.com/ipl/teamlogos/MI.png?,57,271,6,5,3,39*,28,1,0,0,5
88,https://scores.iplt20.com/ipl/playerimages/Glenn Maxwell.png,Glenn Maxwell,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,52,120,10,9,0,28,5,0,0,0,2
89,https://scores.iplt20.com/ipl/playerimages/Sameer Rizvi.png,Sameer Rizvi,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,51,118,8,5,1,21,12,0,0,0,2
90,https://scores.iplt20.com/ipl/playerimages/Tom Kohler-Cadmore.png,Tom Kohler-Cadmore,https://scores.iplt20.com/ipl/teamlogos/RR.png?,48,88,4,3,0,20,16,0,0,0,1
