ID,Player,Name,T,W,Avg,Ovr,R,BBF,EC,SR,3w,5w,Mdns
37,https://scores.iplt20.com/ipl/playerimages/Ishant Sharma.png,Ishant Sharma,https://scores.iplt20.com/ipl/teamlogos/DC.png?,10,26,27,265,3/34,9,16,1,0,0
38,https://scores.iplt20.com/ipl/playerimages/Mohsin Khan.png,Mohsin Khan,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,10,38,38,385,2/29,10,22,0,0,0
39,https://scores.iplt20.com/ipl/playerimages/Ravichandran Ashwin.png,Ravichandran Ashwin,https://scores.iplt20.com/ipl/teamlogos/RR.png?,9,51,55,467,3/24,8,36,1,0,0
40,https://scores.iplt20.com/ipl/playerimages/Lockie Ferguson.png,Lockie Ferguson,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,9,28,24,255,2/23,10,16,0,0,0
41,https://scores.iplt20.com/ipl/playerimages/Rasikh Dar.png,Rasikh Dar,https://scores.iplt20.com/ipl/teamlogos/DC.png?,9,29,24,269,3/34,10,16,2,0,0
42,https://scores.iplt20.com/ipl/playerimages/Ravindra Jadeja.png,Ravindra Jadeja,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,8,46,47,369,3/18,7,35,2,0,0
43,https://scores.iplt20.com/ipl/playerimages/Noor Ahmad.png,Noor Ahmad,https://scores.iplt20.com/ipl/teamlogos/GT.png?,8,36,34,290,2/20,8,26,0,0,0
44,https://scores.iplt20.com/ipl/playerimages/Nuwan Thushara.png,Nuwan Thushara,https://scores.iplt20.com/ipl/teamlogos/MI.png?,8,32,26,257,3/28,9,19,2,0,0
45,https://scores.iplt20.com/ipl/playerimages/Umesh Yadav.png,Umesh Yadav,https://scores.iplt20.com/ipl/teamlogos/GT.png?,8,26,21,210,2/22,10,15,0,0,0
46,https://scores.iplt20.com/ipl/playerimages/Jaydev Unadkat.png,Jaydev Unadkat,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,8,39,31,319,3/30,10,23,1,0,0
47,https://scores.iplt20.com/ipl/playerimages/Mayank Markande.png,Mayank Markande,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,8,32,22,259,2/26,11,16,0,0,0
48,https://scores.iplt20.com/ipl/playerimages/Mayank Yadav.png,Mayank Yadav,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,7,12,12,85,3/14,6,10,2,0,0
49,https://scores.iplt20.com/ipl/playerimages/Harpreet Brar.png,Harpreet Brar,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,7,43,38,303,2/13,7,32,0,0,0
50,https://scores.iplt20.com/ipl/playerimages/Nandre Burger.png,Nandre Burger,https://scores.iplt20.com/ipl/teamlogos/RR.png?,7,20,17,145,2/29,8,14,0,0,0
51,https://scores.iplt20.com/ipl/playerimages/Sai Kishore.png,Sai Kishore,https://scores.iplt20.com/ipl/teamlogos/GT.png?,7,19,15,137,4/33,9,12,1,0,0
52,https://scores.iplt20.com/ipl/playerimages/Shahbaz Ahmed.png,Shahbaz Ahmed,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,7,38,27,270,3/23,9,23,1,0,0
53,https://scores.iplt20.com/ipl/playerimages/Karn Sharma.png,Karn Sharma,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,7,36,24,254,2/29,10,20,0,0,0
54,https://scores.iplt20.com/ipl/playerimages/Anrich Nortje.png,Anrich Nortje,https://scores.iplt20.com/ipl/teamlogos/DC.png?,7,42,22,294,3/59,13,18,1,0,0
55,https://scores.iplt20.com/ipl/playerimages/Krunal Pandya.png,Krunal Pandya,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,6,42,33,255,3/11,7,33,1,0,0
56,https://scores.iplt20.com/ipl/playerimages/Glenn Maxwell.png,Glenn Maxwell,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,6,21,16,129,2/23,8,16,0,0,0
57,https://scores.iplt20.com/ipl/playerimages/Swapnil Singh.png,Swapnil Singh,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,6,22,15,133,2/28,8,15,0,0,0
58,https://scores.iplt20.com/ipl/playerimages/Kuldeep Sen.png,Kuldeep Sen,https://scores.iplt20.com/ipl/teamlogos/RR.png?,6,20,12,122,3/41,10,12,1,0,0
59,https://scores.iplt20.com/ipl/playerimages/Sandeep Warrier.png,Sandeep Warrier,https://scores.iplt20.com/ipl/teamlogos/GT.png?,6,19,11,119,3/15,10,11,1,0,0
60,https://scores.iplt20.com/ipl/playerimages/Deepak Chahar.png,Deepak Chahar,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,5,40,23,202,2/28,8,28,0,0,0
61,https://scores.iplt20.com/ipl/playerimages/Shardul Thakur.png,Shardul Thakur,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,5,61,31,309,2/61,9,38,0,0,0
62,https://scores.iplt20.com/ipl/playerimages/Simarjeet Singh.png,Simarjeet Singh,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,5,24,12,121,3/26,10,14,1,0,0
63,https://scores.iplt20.com/ipl/playerimages/Akash Madhwal.png,Akash Madhwal,https://scores.iplt20.com/ipl/teamlogos/MI.png?,5,41,18,205,3/20,11,21,1,0,0
64,https://scores.iplt20.com/ipl/playerimages/Azmatullah Omarzai.png,Azmatullah Omarzai,https://scores.iplt20.com/ipl/teamlogos/GT.png?,4,46,21,186,2/27,8,31,0,0,0
65,https://scores.iplt20.com/ipl/playerimages/Marcus Stoinis.png,Marcus Stoinis,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,4,31,14,126,1/3,9,21,0,0,0
66,https://scores.iplt20.com/ipl/playerimages/Spencer Johnson.png,Spencer Johnson,https://scores.iplt20.com/ipl/teamlogos/GT.png?,4,37,16,151,2/25,9,24,0,0,0
67,https://scores.iplt20.com/ipl/playerimages/Vijaykumar Vyshak.png,Vijaykumar Vyshak,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,4,35,14,142,2/23,9,21,0,0,0
